epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1202.02,1.23056,0.84989,0.00317,0.84673,0.67635,0.72428,0.54678,1.20754,0.78627,0.00397,0.000643101,0.000643101,0.000643101
43,1229.22,1.23383,0.85998,0.00318,0.8399,0.67861,0.7231,0.54688,1.19087,0.78853,0.00392,0.000628101,0.000628101,0.000628101
44,1256.48,1.22359,0.83666,0.00314,0.809,0.69654,0.72362,0.54766,1.1992,0.79002,0.00393,0.000612981,0.000612981,0.000612981
45,1283.54,1.23216,0.84952,0.00313,0.83911,0.68724,0.73165,0.55464,1.1888,0.76975,0.00391,0.000597754,0.000597754,0.000597754
46,1310.68,1.23247,0.84235,0.00314,0.84031,0.68787,0.72745,0.55111,1.20124,0.77824,0.00391,0.000582435,0.000582435,0.000582435
47,1337.91,1.23537,0.83768,0.00311,0.82386,0.69177,0.72962,0.54848,1.20837,0.77661,0.00397,0.00056704,0.00056704,0.00056704
48,1364.46,1.21406,0.81226,0.0031,0.81696,0.69085,0.72855,0.54908,1.2016,0.77311,0.00397,0.000551584,0.000551584,0.000551584
49,1391.51,1.22396,0.82432,0.00306,0.79891,0.69203,0.73074,0.55571,1.18475,0.75868,0.00388,0.000536081,0.000536081,0.000536081
50,1418.52,1.21985,0.81974,0.00305,0.82828,0.69798,0.73718,0.56051,1.18874,0.76585,0.00391,0.000520548,0.000520548,0.000520548
51,1445.39,1.21249,0.8092,0.0031,0.84825,0.69299,0.73281,0.55665,1.19832,0.76265,0.00392,0.000505,0.000505,0.000505
52,1472.55,1.21473,0.81059,0.00308,0.82928,0.70348,0.73257,0.55592,1.19678,0.75635,0.00389,0.000489452,0.000489452,0.000489452
53,1499.52,1.20163,0.798,0.00308,0.86953,0.68607,0.73583,0.55858,1.20591,0.7573,0.00395,0.000473919,0.000473919,0.000473919
54,1526.56,1.21812,0.81773,0.00311,0.87941,0.68355,0.73677,0.55778,1.19164,0.75843,0.00389,0.000458416,0.000458416,0.000458416
55,1553.7,1.21321,0.80132,0.00305,0.82984,0.70175,0.73261,0.55725,1.20049,0.74828,0.00393,0.00044296,0.00044296,0.00044296
56,1580.59,1.18709,0.78282,0.00301,0.83745,0.7015,0.73381,0.55827,1.20254,0.7526,0.00394,0.000427565,0.000427565,0.000427565
57,1607.81,1.19736,0.7764,0.00296,0.86919,0.69413,0.73857,0.56019,1.18883,0.7409,0.00387,0.000412246,0.000412246,0.000412246
58,1634.93,1.21447,0.80008,0.00308,0.84582,0.6948,0.73854,0.56229,1.18633,0.74143,0.00386,0.000397019,0.000397019,0.000397019
59,1661.81,1.20045,0.78068,0.00304,0.86498,0.70022,0.74099,0.56135,1.19849,0.73771,0.00388,0.000381899,0.000381899,0.000381899
60,1688.79,1.19498,0.78293,0.00305,0.85925,0.70707,0.74209,0.56176,1.20264,0.75177,0.00389,0.000366899,0.000366899,0.000366899
61,1716.05,1.21263,0.8087,0.00309,0.85479,0.70383,0.74137,0.56165,1.19621,0.74724,0.00387,0.000352037,0.000352037,0.000352037
62,1743.35,1.18742,0.76894,0.003,0.84753,0.70102,0.74038,0.56487,1.1891,0.74402,0.00386,0.000337325,0.000337325,0.000337325
63,1770.31,1.19273,0.77624,0.00303,0.8592,0.69642,0.74065,0.56407,1.19552,0.75528,0.00387,0.000322778,0.000322778,0.000322778
